id,code,country_id:id,state_id:id,name
entity_legal_form_1,CDOV,base.ag,,International Business Corporation
entity_legal_form_2,5AWN,base.ar,,Sociedad del Estado
entity_legal_form_3,6M8Y,base.ar,,Sociedad Colectiva
entity_legal_form_4,D3E0,base.ar,,Sociedad de Capital e Industria
entity_legal_form_5,F0A6,base.ar,,Sociedad Anonima
entity_legal_form_6,FE8K,base.ar,,Sociedad Por Acciones Simplificada
entity_legal_form_7,H70T,base.ar,,Sociedad en Comandita Simple
entity_legal_form_8,HZ6C,base.ar,,Sociedad Cooperativa
entity_legal_form_9,L4QF,base.ar,,Organismo Publico
entity_legal_form_10,LVJZ,base.ar,,Fundacion
entity_legal_form_11,O7AL,base.ar,,Sociedad de Garantía Reciproca
entity_legal_form_12,PLZ6,base.ar,,Sociedad en Comandita por Acciones
entity_legal_form_13,RDD3,base.ar,,Asociacion civil
entity_legal_form_14,U82F,base.ar,,Sociedad De Responsalided Limitada
entity_legal_form_15,WUAZ,base.ar,,Sociedad Anonima Unipersonal
entity_legal_form_16,CRL9,base.aw,,Stichting
entity_legal_form_17,CYW2,base.aw,,Vennootschap onder firma
entity_legal_form_18,GAJN,base.aw,,Commanditaire vennootschap (1)
entity_legal_form_19,M27U,base.aw,,Besloten vennootschap
entity_legal_form_20,OLAI,base.aw,,Vereniging
entity_legal_form_21,P65N,base.aw,,Naamloze vennootschap
entity_legal_form_22,PCRJ,base.aw,,Cooperatieve vereniging
entity_legal_form_23,PT6C,base.aw,,Eenmanszaak
entity_legal_form_24,REUP,base.aw,,Aruba vrijgestelde vennootschap
entity_legal_form_25,T5RL,base.aw,,Vennootschap buitenlands recht
entity_legal_form_26,UV8T,base.aw,,Maatschap
entity_legal_form_27,V905,base.aw,,Vennootschap met beperkte aansprakelijkheid
entity_legal_form_28,YCV2,base.aw,,Commanditaire vennootschap (1+)
entity_legal_form_29,6W6X,base.au,,Co-operative
entity_legal_form_30,7TPC,base.au,,Trust
entity_legal_form_31,ADXG,base.au,,Fund
entity_legal_form_32,BC38,base.au,,Incorporated association
entity_legal_form_33,J4JC,base.au,,Limited Partnership
entity_legal_form_34,LZFR,base.au,,Public Company limited by guarantee
entity_legal_form_35,PQHL,base.au,,No Liability Company
entity_legal_form_36,Q82Q,base.au,,Unlimited Proprietary Company
entity_legal_form_37,R4KK,base.au,,Public Company limited by shares
entity_legal_form_38,TXVC,base.au,,Limited Proprietary Company
entity_legal_form_39,XHCV,base.au,,Indigenous Corporation
entity_legal_form_40,1NOX,base.at,,Sonstiger Rechtsträger
entity_legal_form_41,5WWO,base.at,,Privatstiftung
entity_legal_form_42,69H1,base.at,,Europäische Genossenschaft (SCE)
entity_legal_form_43,8XDW,base.at,,Genossenschaft
entity_legal_form_44,AAL7,base.at,,Kommandit-Erwerbsgesellschaft
entity_legal_form_45,AXSB,base.at,,Gesellschaft mit beschränkter Haftung
entity_legal_form_46,CAQ1,base.at,,Versicherungsverein auf Gegenseitigkeit
entity_legal_form_47,DM88,base.at,,Europäische wirtschaftliche Interessenvereinigung
entity_legal_form_48,DX6Z,base.at,,Verein
entity_legal_form_49,E9OX,base.at,,Gemeinnützige Stiftung
entity_legal_form_50,ECWU,base.at,,Einzelunternehmer
entity_legal_form_51,EQOV,base.at,,Aktiengesellschaft
entity_legal_form_52,G3R6,base.at,,Einzelkaufmann
entity_legal_form_53,GVPD,base.at,,Offene Handelsgesellschaft
entity_legal_form_54,JJYT,base.at,,Körperschaft öffentlichen Rechts
entity_legal_form_55,JQOI,base.at,,Sparkasse
entity_legal_form_56,JTAV,base.at,,Offene Gesellschaft
entity_legal_form_57,JUHG,base.at,,Offene Erwerbsgesellschaft
entity_legal_form_58,NIJH,base.at,,Erwerbs- und Wirtschaftsgenossenschaft
entity_legal_form_59,NNLI,base.at,,stille Gesellschaft
entity_legal_form_60,O65B,base.at,,Europäische Gesellschaft (SE)
entity_legal_form_61,ONF1,base.at,,Kommanditgesellschaft
entity_legal_form_62,UI81,base.at,,Gesellschaft des bürgerlichen Rechts
entity_legal_form_63,52TH,base.az,,Törəmə təsərrüfat cəmiyyəti
entity_legal_form_64,6JHZ,base.az,,Məhdud məsuliyyətli cəmiyyəti
entity_legal_form_65,DWEA,base.az,,Kooperativlər
entity_legal_form_66,HKL3,base.az,,Əlavə məsuliyyətli cəmiyyət
entity_legal_form_67,K81Q,base.az,,Açıq səhmdar cəmiyyəti
entity_legal_form_68,M4LU,base.az,,Qapalı səhmdar cəmiyyəti
entity_legal_form_69,MEJT,base.az,,Tam ortaqlıq
entity_legal_form_70,PITR,base.az,,Hüquqi şəxslərin ittifaqları
entity_legal_form_71,SLXJ,base.az,,Asılı təsərrüfat cəmiyyəti
entity_legal_form_72,TD56,base.az,,Komandit ortaqlıq
entity_legal_form_73,U0SP,base.az,,İctimai birliklər
entity_legal_form_74,ZD74,base.az,,Fondlar
entity_legal_form_75,1W6I,base.bs,,Limited Liability Partnership
entity_legal_form_76,78QF,base.bs,,Partnership
entity_legal_form_77,98A8,base.bs,,Company Limited by Shares
entity_legal_form_78,A9N4,base.bs,,International Business Company
entity_legal_form_79,DAEG,base.bs,,Unlimited Liability Company
entity_legal_form_80,HNSU,base.bs,,Public Company Limited by Shares
entity_legal_form_81,HP0B,base.bs,,Company Limited both by Shares and by Guarantee
entity_legal_form_82,PB7W,base.bs,,Company Limited by Guarantee
entity_legal_form_83,PICJ,base.bs,,Non-Profit Company
entity_legal_form_84,SQ8U,base.bs,,Exempted Limited Partnership
entity_legal_form_85,VVOW,base.bs,,Foundation
entity_legal_form_86,XDKS,base.bs,,Sole Proprietor
entity_legal_form_87,2MAO,base.bh,,الشركة غير هادفة للربح
entity_legal_form_88,990B,base.bh,,وصية الشراكة من قبل شركة الأسهم (شركة التوصية بالأسهم)
entity_legal_form_89,JNJI,base.bh,,الشركة ذات المسؤولية المحدودة
entity_legal_form_90,SRQE,base.bh,,شركة التوصية البسيطة للشراكة (شركة التوصية البسيطة)
entity_legal_form_91,SWH1,base.bh,,شركة تضامن
entity_legal_form_92,2T7B,base.bb,,society with restricted liability
entity_legal_form_93,5IL6,base.bb,,sole proprietorship
entity_legal_form_94,7FCS,base.bb,,partnership
entity_legal_form_95,EKJG,base.bb,,segregated cell company
entity_legal_form_96,HTBY,base.bb,,company
entity_legal_form_97,KYFD,base.bb,,non-profit company
entity_legal_form_98,Q9Y1,base.bb,,international business company
entity_legal_form_99,T4KB,base.bb,,association
entity_legal_form_100,TEPY,base.bb,,public company
entity_legal_form_101,X2X1,base.bb,,limited partnership
entity_legal_form_102,106J,base.by,,Закрытае акцыянернае таварыства
entity_legal_form_103,106J,base.by,,Закрытое акционерное общество
entity_legal_form_104,9X63,base.by,,Унітарнае прадпрыемства
entity_legal_form_105,9X63,base.by,,Унитарное предприятие
entity_legal_form_106,AABD,base.by,,Таварыства з абмежаванай адказнасцю
entity_legal_form_107,AABD,base.by,,Общество с ограниченной ответственностью
entity_legal_form_108,JLR3,base.by,,Таварыства з дадатковай адказнасцю
entity_legal_form_109,JLR3,base.by,,Общество с дополнительной ответственностью
entity_legal_form_110,MR85,base.by,,Адкрытае акцыянернае таварыства
entity_legal_form_111,MR85,base.by,,Открытое акционерное общество
entity_legal_form_112,1TX8,base.be,,Commanditaire vennootschap op aandelen met een sociaal oogmerk
entity_legal_form_113,1TX8,base.be,,Société en commandite par actions à finalité sociale
entity_legal_form_114,1TX8,base.be,,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung
entity_legal_form_115,28FE,base.be,,Coöperatieve vennootschap
entity_legal_form_116,28FE,base.be,,Société coopérative
entity_legal_form_117,28FE,base.be,,Genossenschaft
entity_legal_form_118,2QSA,base.be,,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk
entity_legal_form_119,2QSA,base.be,,Société coopérative à responsabilité limitée à finalité sociale
entity_legal_form_120,2QSA,base.be,,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung
entity_legal_form_121,36KV,base.be,,Europese vennootschap (Societas Europaea)
entity_legal_form_122,36KV,base.be,,Société européenne (Societas Europaea)
entity_legal_form_123,36KV,base.be,,Europäische Gesellschaft (Societas Europaea)
entity_legal_form_124,3LMA,base.be,,Buitenlandse onderneming
entity_legal_form_125,3LMA,base.be,,Entreprise étrangère
entity_legal_form_126,3LMA,base.be,,Ausländische Gesellschaft
entity_legal_form_127,3N94,base.be,,Onderneming-natuurlijk persoon
entity_legal_form_128,3N94,base.be,,Entreprise personne physique
entity_legal_form_129,3N94,base.be,,Unternehmen natürliche Person
entity_legal_form_130,3W7E,base.be,,Besloten Vennootschap
entity_legal_form_131,3W7E,base.be,,Société à responsabilité limitée
entity_legal_form_132,3W7E,base.be,,Gesellschaft mit beschränkter Haftung
entity_legal_form_133,4E5P,base.be,,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk
entity_legal_form_134,4E5P,base.be,,Société coopérative à responsabilité illimitée à finalité sociale
entity_legal_form_135,4E5P,base.be,,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung
entity_legal_form_136,7SJP,base.be,,Europees economisch samenwerkingsverband
entity_legal_form_137,7SJP,base.be,,Groupement européen d'intérêt économique
entity_legal_form_138,7SJP,base.be,,Europäische wirtschaftliche Interessenvereinigung
entity_legal_form_139,8E2A,base.be,,Coöperatieve vennootschap met beperkte aansprakelijkheid
entity_legal_form_140,8E2A,base.be,,Société coopérative à responsabilité limitée
entity_legal_form_141,8E2A,base.be,,Genossenschaft mit beschränkter Haftung
entity_legal_form_142,8YLB,base.be,,Instelling zonder winstoogmerk
entity_legal_form_143,8YLB,base.be,,Institution sans but lucratif
entity_legal_form_144,28YLB,base.be,,Einrichtung ohne Gewinnerzielungsabsicht
entity_legal_form_145,B910,base.be,,Vennootschap onder firma met een sociaal oogmerk
entity_legal_form_146,B910,base.be,,Société en nom collectif à finalité sociale
entity_legal_form_147,B910,base.be,,Offene Handelsgesellschaft mit sozialer Zielsetzung
entity_legal_form_148,C609,base.be,,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid
entity_legal_form_149,C609,base.be,,Société privée à responsabilité limitée unipersonnelle
entity_legal_form_150,C609,base.be,,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter
entity_legal_form_151,CFH5,base.be,,Vennootschap of vereniging zonder rechtspersoonlijkheid
entity_legal_form_152,CFH5,base.be,,Société ou association sans personnalité juridique
entity_legal_form_153,CFH5,base.be,,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit
