id,entity_legal_form_id:id,name
entity_legal_form_abbreviation_101,entity_legal_form_92,SRL
entity_legal_form_abbreviation_102,entity_legal_form_96,ltd.
entity_legal_form_abbreviation_103,entity_legal_form_96,corp.
entity_legal_form_abbreviation_104,entity_legal_form_96,inc.
entity_legal_form_abbreviation_105,entity_legal_form_100,ltd.
entity_legal_form_abbreviation_106,entity_legal_form_100,corp.
entity_legal_form_abbreviation_107,entity_legal_form_100,inc.
entity_legal_form_abbreviation_108,entity_legal_form_102,ЗАТ
entity_legal_form_abbreviation_109,entity_legal_form_103,ЗАО
entity_legal_form_abbreviation_110,entity_legal_form_104,УП
entity_legal_form_abbreviation_111,entity_legal_form_105,УП
entity_legal_form_abbreviation_112,entity_legal_form_106,ТАА
entity_legal_form_abbreviation_113,entity_legal_form_107,ООО
entity_legal_form_abbreviation_114,entity_legal_form_108,ТДА
entity_legal_form_abbreviation_115,entity_legal_form_109,ОДО
entity_legal_form_abbreviation_116,entity_legal_form_110,ААТ
entity_legal_form_abbreviation_117,entity_legal_form_111,ОАО
entity_legal_form_abbreviation_118,entity_legal_form_112,CVA SO
entity_legal_form_abbreviation_119,entity_legal_form_113,SCA FS
entity_legal_form_abbreviation_120,entity_legal_form_114,KGaAmsZ
entity_legal_form_abbreviation_121,entity_legal_form_115,CV
entity_legal_form_abbreviation_122,entity_legal_form_116,SC
entity_legal_form_abbreviation_123,entity_legal_form_117,Gen.
entity_legal_form_abbreviation_124,entity_legal_form_118,CVBA SO
entity_legal_form_abbreviation_125,entity_legal_form_119,SCRL FS
entity_legal_form_abbreviation_126,entity_legal_form_120,GbHsZ
entity_legal_form_abbreviation_127,entity_legal_form_121,SE
entity_legal_form_abbreviation_128,entity_legal_form_122,SE
entity_legal_form_abbreviation_129,entity_legal_form_123,SE
entity_legal_form_abbreviation_130,entity_legal_form_124,BO
entity_legal_form_abbreviation_131,entity_legal_form_125,ENT E
entity_legal_form_abbreviation_132,entity_legal_form_126,AGes.
entity_legal_form_abbreviation_133,entity_legal_form_127,ONP
entity_legal_form_abbreviation_134,entity_legal_form_128,EPP
entity_legal_form_abbreviation_135,entity_legal_form_129,UNP
entity_legal_form_abbreviation_136,entity_legal_form_130,BV
entity_legal_form_abbreviation_137,entity_legal_form_131,SRL
entity_legal_form_abbreviation_138,entity_legal_form_132,GmbH
entity_legal_form_abbreviation_139,entity_legal_form_133,CVOA SO
entity_legal_form_abbreviation_140,entity_legal_form_134,SCRI FS
entity_legal_form_abbreviation_141,entity_legal_form_135,GuHsZ
entity_legal_form_abbreviation_142,entity_legal_form_136,EESV
entity_legal_form_abbreviation_143,entity_legal_form_137,GEIE
entity_legal_form_abbreviation_144,entity_legal_form_138,EWIV
entity_legal_form_abbreviation_145,entity_legal_form_139,CVBA
entity_legal_form_abbreviation_146,entity_legal_form_140,SCRL
entity_legal_form_abbreviation_147,entity_legal_form_141,Gen.mbH
entity_legal_form_abbreviation_148,entity_legal_form_142,IZW
entity_legal_form_abbreviation_149,entity_legal_form_143,ISBL
entity_legal_form_abbreviation_150,entity_legal_form_144,EoG
entity_legal_form_abbreviation_151,entity_legal_form_145,VOF SO
entity_legal_form_abbreviation_152,entity_legal_form_146,SNC FS
entity_legal_form_abbreviation_153,entity_legal_form_147,OHGmsZ
entity_legal_form_abbreviation_154,entity_legal_form_148,EBVBA
entity_legal_form_abbreviation_155,entity_legal_form_149,SPRLU
entity_legal_form_abbreviation_156,entity_legal_form_150,PGmbHmA
entity_legal_form_abbreviation_157,entity_legal_form_151,VVZRL
entity_legal_form_abbreviation_158,entity_legal_form_152,SASPJ
entity_legal_form_abbreviation_159,entity_legal_form_153,GVoRP
entity_legal_form_abbreviation_160,entity_legal_form_154,VZW PR
entity_legal_form_abbreviation_161,entity_legal_form_155,ASBL DPU
entity_legal_form_abbreviation_162,entity_legal_form_156,ÖrVohGza
entity_legal_form_abbreviation_163,entity_legal_form_157,CVOA CD
entity_legal_form_abbreviation_164,entity_legal_form_158,SCRI CP
entity_legal_form_abbreviation_165,entity_legal_form_159,GmuHGB
entity_legal_form_abbreviation_166,entity_legal_form_160,ESV
